,final.withoutWars.WarName,WarEndStatus,DidAtrocityHappen,EthnFrac,RelFrac,InternationalAlly,InternationalOppo,Polity,African,Log.Mountainous,Log.Population,LogGDP.perCap,WarLength,Deaths,LogDeaths
1,Third Angolan,1,0,0.783281744,0.612200022,0,0,-2.75,1,2.370243788,9.71052061,6.251560703,1176,0,0
2,First Congo (Brazzaville),1,0,0.657212377,0.519199967,0,1,-6,1,0,7.993778659,6.679692158,132,0,0
3,Oromo Liberation,1,0,0.693593264,0.612200022,0,0,1,1,4.268297672,11.07658953,4.780249597,80,0,0
4,Guinea-Bissau Military,1,0,0.803756952,0.544999957,1,0,3,1,0,7.098668571,5.181539588,333,0,0
5,Third Aceh,1,0,0.764058352,0.221599996,0,0,6,0,2.44234705,12.30385801,7.032987178,184,0,0
6,Sixth Iraqi Kurds,1,0,0.362471163,0.492200017,0,0,-9,0,1.945910096,9.944912229,NA,53,0,0
7,Third Liberia,1,0,0.829912245,0.639999986,0,0,0,1,0.470003635,7.692195034,4.286977011,137,0,0
8,First Nepal Maoist Insurgency,1,0,0.69923687,0.186200023,0,0,-2,0,4.3134799,10.10885749,5.519653894,432,0,0
9,Third Philippine Moro,1,0,0.74517715,0.299600005,0,0,8,0,3.104586601,11.3269,6.91825,154,0,0
10,Second Sierra Leone,1,0,0.768846512,0.539999962,0,1,0,1,0.993251801,8.388387643,5.028071398,516,0,0
11,Fourth Chad (Togoimi Revolt),1,0,0.826272845,0.625,0,0,-2,1,2.251291752,8.993164926,5.267385883,560,0,0
12,First Yemeni Cleric,1,0,0.059999999,0.612200022,0,0,-2,0,3.33932209,9.918376042,6.624760736,291,0,0
13,Second Yemeni Cleric,1,0,0.059999999,0.612200022,0,0,-2,0,3.33932209,9.987442827,6.903374179,138,0,0
14,BDI,1,1,0.035510659,0.550199986,0,0,0,1,4.324132442,8.788109857,4.895918553,822,10,2.302585093
15,BDI,1,1,0.035510659,0.550199986,0,0,0,1,4.324132442,8.788109857,4.895918553,714,13,2.564949357
16,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,627,24,3.17805383
17,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,578,400,5.991464547
18,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,569,8,2.079441542
19,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,567,60,4.094344562
20,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,562,29,3.36729583
21,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,550,29,3.36729583
22,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,466,5,1.609437912
23,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,465,5,1.609437912
24,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,434,24,3.17805383
25,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,430,18,2.890371758
26,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,409,30,3.401197382
27,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,395,173,5.153291594
28,BDI,1,1,0.035510659,0.550199986,0,0,2,1,4.324132442,8.816047966,4.807568842,384,16,2.772588722
29,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,275,8,2.079441542
30,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,275,8,2.079441542
31,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,262,80,4.382026635
32,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,250,13,2.564949357
33,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,156,100,4.605170186
34,BDI,1,1,0.035510659,0.550199986,0,0,3,1,4.324132442,8.846944752,4.726054186,150,23,3.135494216
35,CIV,1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.762299321,6.566617813,789,270,5.598421959
36,CIV,1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.762299321,6.566617813,758,75,4.317488114
37,CIV,1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.762299321,6.566617813,720,12,2.48490665
38,CIV,1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.762299321,6.566617813,720,120,4.787491743
39,CIV,1,1,0.859293461,0.559199989,0,0,0,1,0.336472243,9.762299321,6.566617813,719,150,5.010635294
40,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.762299321,6.566617813,686,12,2.48490665
41,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,677,15,2.708050201
42,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,625,20,2.995732274
43,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,595,75,4.317488114
44,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,591,60,4.094344562
45,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,588,15,2.708050201
46,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,582,9,2.197224577
47,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.76364198,580,10,2.302585093
48,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.824163651,236,60,4.094344562
49,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.824163651,236,500,6.214608098
50,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.824163651,235,75,4.317488114
51,CIV,1,1,0.859293461,0.559199989,1,0,0,1,0.336472243,9.780152854,6.824163651,10,57,4.043051268
52,COD,1,1,0.901631832,0.680000007,0,1,0,1,1.648658633,10.66360492,4.934219224,214,41,3.713572067
53,COD,1,1,0.901631832,0.680000007,0,1,0,1,1.648658633,10.66360492,4.934219224,89,13,2.564949357
54,COD,1,1,0.901631832,0.680000007,0,1,0,1,1.648658633,10.66360492,4.934219224,89,8,2.079441542
55,COD,1,1,0.901631832,0.680000007,0,1,0,1,1.648658633,10.66360492,4.934219224,21,50,3.912023005
56,COG,1,1,0.657212377,0.519199967,0,0,-6,1,0,8.050813069,6.620775027,165,24,3.17805383
57,COG,1,1,0.657212377,0.519199967,0,0,-6,1,0,8.050813069,6.620775027,89,10,2.302585093
58,GIN,1,1,0.749607503,0.266200006,0,0,-1,1,1.435084581,9.101767926,5.755235124,38,30,3.401197382
59,HRV,1,1,0.334221005,0.382799983,0,0,-5,0,1.528065443,8.446298942,8.475315849,103,150,5.010635294
60,HRV,1,1,0.334221005,0.382799983,0,0,-5,0,1.528065443,8.446298942,8.475315849,92,600,6.396929655
61,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1316,34,3.526360525
62,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1276,5,1.609437912
63,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1220,14,2.63905733
64,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1216,24,3.17805383
65,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1186,8,2.079441542
66,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1172,7,1.945910149
67,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1171,9,2.197224577
68,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.24823401,6.571646439,1170,71,4.262679877
69,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.26217141,6.722129776,762,25,3.218875825
70,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,667,65,4.17438727
71,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,631,7,1.945910149
72,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,626,5,1.609437912
73,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,625,7,1.945910149
74,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,577,9,2.197224577
75,IDN,1,1,0.764058352,0.221599996,0,0,6,0,2.44234705,12.27609533,6.680096392,537,5,1.609437912
76,LBR,1,1,0.829912245,0.639999986,0,0,0,1,0.470003635,8.027105378,5.17775922,389,550,6.309918278
77,LBR,1,1,0.829912245,0.639999986,0,0,1,1,0.470003635,8.04438018,4.894060278,118,369,5.910796644
78,LBR,1,1,0.829912245,0.639999986,0,0,1,1,0.470003635,8.04438018,4.894060278,61,11,2.397895273
79,NPL,1,1,0.69923687,0.186200023,0,0,-6,0,4.3134799,10.13893308,5.660875341,490,5,1.609437912
80,NPL,1,1,0.69923687,0.186200023,0,0,-6,0,4.3134799,10.1519201,5.759183116,133,11,2.397895273
81,NPL,1,1,0.69923687,0.186200023,0,0,6,0,4.3134799,10.16356528,5.854015357,0,6,1.791759469
82,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,920,13,2.564949357
83,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,917,48,3.871201011
84,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,899,13,2.564949357
85,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,727,8,2.079441542
86,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,722,8,2.079441542
87,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,679,14,2.63905733
88,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.94412113,6.567333177,416,17,2.833213344
89,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,238,17,2.833213344
90,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,237,12,2.48490665
91,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,227,9,2.197224577
92,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,179,30,3.401197382
93,PHL,1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.26435601,6.945928306,275,10,2.302585093
94,PHL,1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.3652863,7.085648005,232,10,2.302585093
95,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1489,25,3.218875825
96,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1484,298,5.697093487
97,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1463,40000,10.59663473
98,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1460,41,3.713572067
99,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1456,29,3.36729583
100,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1445,20,2.995732274
101,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1440,27,3.295836866
102,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1435,40,3.688879454
103,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1383,41,3.713572067
104,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1337,363,5.894402834
105,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1336,62,4.127134385
106,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1197,6,1.791759469
