,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
51,2,USA,USA,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,262761,12.47900009,10,18.95670891,2,18.70299911,9.836457253,12.46955967,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950134,0,0,18.7033329,12.46955967,3.21486783,1,10,0,0,0,0,NA,NA,NA,0,0
52,2,USA,USA,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,265179,12.48816013,10,19.38625717,2,18.95700073,9.849913597,12.47900009,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,18.95670891,12.47900009,3.21486783,1,10,0,0,0,0,NA,NA,NA,0,0
53,2,USA,USA,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,267636,12.49738312,10,19.99498749,2,19.38599968,9.872320175,12.48816013,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,19.38625717,12.48816013,3.21486783,1,10,0,0,0,0,NA,NA,NA,0,0
54,2,USA,USA,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,270029,12.50628471,10,20.61325455,2,19.99500084,9.903237343,12.49738312,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,19.99498749,12.49738312,3.21486783,1,10,0,0,0,0,NA,NA,NA,0,0
55,2,USA,USA,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,10,21.0992527,2,20.61300087,9.933689117,12.50628471,western democracies and japan,1,0,0,0,0,0,1,0,23.90000153,3.21486783,6280,0,1,0.356950104,0.490957022,0.690999985,0.125,3,0.595999956,56,28,1.899999976,0,10,0,0,1,0.356950104,0,0,20.61325455,12.50628471,3.21486783,1,NA,0,0,0,0,NA,NA,NA,0,0
106,20,CANADA,CANADA,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,29615,10.29603672,10,17.49835396,2,17.17300034,9.751114845,10.28384018,western democracies and japan,1,0,0,0,0,0,1,0,15.39999866,2.797281265,5950,0,0,0.754994035,0.59634006,0.589999974,0.230000004,3,0.631199956,42,40,0.899999976,0,10,0,0,1,0.754994035,0,0,17.17336464,10.28384018,2.797281265,0,10,0,0,0,0,NA,NA,NA,0,0
107,20,CANADA,CANADA,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,29969.19922,10.30792522,10,17.57556915,2,17.49799919,9.769862175,10.29603672,western democracies and japan,1,0,0,0,0,0,1,0,15.39999866,2.797281265,5950,0,0,0.754994035,0.59634006,0.589999974,0.230000004,3,0.631199956,42,40,0.899999976,0,10,0,0,1,0.754994035,0,0,17.49835396,10.29603672,2.797281265,0,10,0,0,0,0,NA,NA,NA,0,0
108,20,CANADA,CANADA,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,30286.59961,10.31846046,10,18.15414619,2,17.57600021,9.774265289,10.30792522,western democracies and japan,1,0,0,0,0,0,1,0,15.39999866,2.797281265,5950,0,0,0.754994035,0.59634006,0.589999974,0.230000004,3,0.631199956,42,40,0.899999976,0,10,0,0,1,0.754994035,0,0,17.57556915,10.30792522,2.797281265,0,10,0,0,0,0,NA,NA,NA,0,0
109,20,CANADA,CANADA,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,30585.99023,10.32829762,10,18.59253693,2,18.15399933,9.806653976,10.31846046,western democracies and japan,1,0,0,0,0,0,1,0,15.39999866,2.797281265,5950,0,0,0.754994035,0.59634006,0.589999974,0.230000004,3,0.631199956,42,40,0.899999976,0,10,0,0,1,0.754994035,0,0,18.15414619,10.31846046,2.797281265,0,10,0,0,0,0,NA,NA,NA,0,0
110,20,CANADA,CANADA,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,10,19.29062462,2,18.59300041,9.830515862,10.32829762,western democracies and japan,1,0,0,0,0,0,1,0,15.39999866,2.797281265,5950,0,0,0.754994035,0.59634006,0.589999974,0.230000004,3,0.631199956,42,40,0.899999976,0,10,0,0,1,0.754994035,0,0,18.59253693,10.32829762,2.797281265,0,NA,0,0,0,0,NA,NA,NA,0,0
