,V1,V2,V3
1,Croatia-Krajina War,5/15/95,11/15/95
2,Third Liberia,4/5/96,8/20/96
3,Sixth Iraqi Kurds,8/31/96,10/23/96
4,Fifth DRC,10/8/96,5/17/97
5,Third Rwanda,3/17/97,10/30/98
6,First Congo (Brazzaville),6/5/97,10/15/97
7,Second Sierra Leone,2/6/98,7/7/99
8,Kosovo Independence,2/28/98,3/23/99
9,Guinea-Bissau Military,6/7/98,5/6/99
10,Fourth Chad (Togoimi Revolt),10/16/98,4/28/00
11,Third Angolan,12/4/98,2/22/02
12,Second Congo (Brazzaville),12/15/98,11/16/99
13,Second Aceh,5/3/99,12/9/02
14,Oromo Liberation,5/30/99,8/18/99
15,Second Chechen,8/7/99,10/3/03
16,Second Philippine-Moro,4/23/00,6/22/01
17,Guinean,9/11/00,4/15/01
18,Third Burundi,3/21/01,10/8/03
19,First Nepal Maoist Insurgency,11/23/01,1/29/03
20,Fourth Liberian,2/15/02,8/11/03
21,Cote d'Ivoire Military,9/19/02,11/16/04
22,Third Philippine-Moro,2/11/03,7/15/03
23,Darfur,2/26/03,12/11/06
24,Third Aceh,5/18/03,11/18/03
25,Second Nepal Maoists,8/27/03,4/26/06
26,Waziristan,2/20/04,9/5/06
27,Second Nigeria Christian-Muslim,3/15/04,9/16/04
28,Philippine Joint Offensive,1/17/05,7/11/06
29,Fifth Chad,12/18/05,12/20/06
30,Third Somalia,3/6/06,6/1/08
31,Second Yemeni Cleric,1/29/07,6/16/07
